Test 102, loss: 1.551676, test acc: 0.889789, test avg acc: 0.871884
Train 103, loss: 1.521208, train acc: 0.928237, train avg acc: 0.889933
Test 103, loss: 1.506214, test acc: 0.914506, test avg acc: 0.882343
Train 104, loss: 1.512962, train acc: 0.932207, train avg acc: 0.897124
Test 104, loss: 1.503476, test acc: 0.920583, test avg acc: 0.881587
Train 105, loss: 1.514135, train acc: 0.933123, train avg acc: 0.899471
Test 105, loss: 1.514815, test acc: 0.908428, test avg acc: 0.875134
Train 106, loss: 1.518957, train acc: 0.927626, train avg acc: 0.890108
Test 106, loss: 1.536871, test acc: 0.905997, test avg acc: 0.858192
Train 107, loss: 1.514591, train acc: 0.931393, train avg acc: 0.897339
Test 107, loss: 1.514096, test acc: 0.913290, test avg acc: 0.874302
Train 108, loss: 1.507936, train acc: 0.936787, train avg acc: 0.904981
Test 108, loss: 1.499993, test acc: 0.911264, test avg acc: 0.864849
Train 109, loss: 1.507446, train acc: 0.936686, train avg acc: 0.904439
Test 109, loss: 1.489200, test acc: 0.922609, test avg acc: 0.889366
Train 110, loss: 1.509939, train acc: 0.934752, train avg acc: 0.903372
Test 110, loss: 1.511099, test acc: 0.901540, test avg acc: 0.869209
Train 111, loss: 1.505243, train acc: 0.938518, train avg acc: 0.906936
Test 111, loss: 1.503803, test acc: 0.903971, test avg acc: 0.867134
Train 112, loss: 1.506160, train acc: 0.934548, train avg acc: 0.896960
Test 112, loss: 1.491121, test acc: 0.912885, test avg acc: 0.876081
Train 113, loss: 1.507974, train acc: 0.935464, train avg acc: 0.901181
Test 113, loss: 1.516119, test acc: 0.910454, test avg acc: 0.883262
Train 114, loss: 1.499943, train acc: 0.936991, train avg acc: 0.903775
Test 114, loss: 1.504962, test acc: 0.907618, test avg acc: 0.862942
Train 115, loss: 1.506747, train acc: 0.934650, train avg acc: 0.903073
Test 115, loss: 1.496385, test acc: 0.917342, test avg acc: 0.878715
Train 116, loss: 1.495380, train acc: 0.939943, train avg acc: 0.909656
Test 116, loss: 1.513353, test acc: 0.910049, test avg acc: 0.873744
Train 117, loss: 1.495768, train acc: 0.938925, train avg acc: 0.910008
Test 117, loss: 1.498737, test acc: 0.908833, test avg acc: 0.870477
Train 118, loss: 1.493775, train acc: 0.940757, train avg acc: 0.909790
Test 118, loss: 1.497931, test acc: 0.908833, test avg acc: 0.874936
Train 119, loss: 1.492128, train acc: 0.941164, train avg acc: 0.909509
Test 119, loss: 1.498816, test acc: 0.915316, test avg acc: 0.891035
Train 120, loss: 1.492410, train acc: 0.939841, train avg acc: 0.909590
Test 120, loss: 1.510534, test acc: 0.906807, test avg acc: 0.865872
Train 121, loss: 1.490035, train acc: 0.943607, train avg acc: 0.913154
Test 121, loss: 1.482318, test acc: 0.916126, test avg acc: 0.884012
Train 122, loss: 1.486521, train acc: 0.945033, train avg acc: 0.916952
Test 122, loss: 1.490658, test acc: 0.913290, test avg acc: 0.874959
Train 123, loss: 1.495708, train acc: 0.939230, train avg acc: 0.907854
Test 123, loss: 1.495426, test acc: 0.909643, test avg acc: 0.870709
Train 124, loss: 1.492062, train acc: 0.943099, train avg acc: 0.913292
Test 124, loss: 1.521037, test acc: 0.900729, test avg acc: 0.878291
Train 125, loss: 1.483590, train acc: 0.942590, train avg acc: 0.911924
Test 125, loss: 1.509849, test acc: 0.918152, test avg acc: 0.882628
Train 126, loss: 1.482353, train acc: 0.945847, train avg acc: 0.917821
Test 126, loss: 1.482406, test acc: 0.918558, test avg acc: 0.875215
Train 127, loss: 1.484517, train acc: 0.946458, train avg acc: 0.919790
Test 127, loss: 1.501975, test acc: 0.901540, test avg acc: 0.868099
Train 128, loss: 1.482231, train acc: 0.944931, train avg acc: 0.916922
Test 128, loss: 1.489030, test acc: 0.918152, test avg acc: 0.891924
Train 129, loss: 1.482896, train acc: 0.942895, train avg acc: 0.913429
Test 129, loss: 1.481349, test acc: 0.913695, test avg acc: 0.868494
Train 130, loss: 1.483730, train acc: 0.943913, train avg acc: 0.915860
Test 130, loss: 1.489120, test acc: 0.910859, test avg acc: 0.875012
Train 131, loss: 1.480854, train acc: 0.944320, train avg acc: 0.917111
