Namespace(ape=False, batch_size=32, dataset='modelnet40', deg=False, delta=True, dimkqv=32, dropout=0.5, emb_dims=1024, epochs=250, eval=False, exp_name='NLA2_S_smooth', k=20, lr=0.001, model='TransformerBaseline', model_path='', momentum=0.9, neighbors=False, no_cuda=False, num_points=1024, rpe=False, scale=False, seed=1, start_epoch=0, test_batch_size=16, use_sgd=True, visualize=False)
Using GPU : 0 from 1 devices
Namespace(ape=False, batch_size=32, dataset='modelnet40', deg=False, delta=True, dimkqv=32, dropout=0.5, emb_dims=1024, epochs=250, eval=False, exp_name='NLA2_S_smooth', k=20, lr=0.001, model='TransformerBaseline', model_path='', momentum=0.9, neighbors=False, no_cuda=False, num_points=1024, rpe=False, scale=False, seed=1, start_epoch=0, test_batch_size=16, use_sgd=True, visualize=False)
Using GPU : 0 from 1 devices
Train 105, loss: 1.448633, train acc: 0.951423, train avg acc: 0.925730
Test 105, loss: 1.496553, test acc: 0.906807, test avg acc: 0.872337
Train 106, loss: 1.448669, train acc: 0.950407, train avg acc: 0.924847
Test 106, loss: 1.475461, test acc: 0.924230, test avg acc: 0.893448
Train 107, loss: 1.444879, train acc: 0.952236, train avg acc: 0.925644
Test 107, loss: 1.482709, test acc: 0.910049, test avg acc: 0.871843
Train 108, loss: 1.446080, train acc: 0.954776, train avg acc: 0.932424
Test 108, loss: 1.477965, test acc: 0.915721, test avg acc: 0.879750
Train 109, loss: 1.445035, train acc: 0.952541, train avg acc: 0.927882
Test 109, loss: 1.489710, test acc: 0.915721, test avg acc: 0.875709
Train 110, loss: 1.442243, train acc: 0.955285, train avg acc: 0.931809
Test 110, loss: 1.492798, test acc: 0.913695, test avg acc: 0.881041
Train 111, loss: 1.441694, train acc: 0.954167, train avg acc: 0.931022
Test 111, loss: 1.491450, test acc: 0.900729, test avg acc: 0.859703
Train 112, loss: 1.440509, train acc: 0.954065, train avg acc: 0.931699
Test 112, loss: 1.514964, test acc: 0.905592, test avg acc: 0.880407
Train 113, loss: 1.441490, train acc: 0.952947, train avg acc: 0.929184
Test 113, loss: 1.512964, test acc: 0.909238, test avg acc: 0.881535
Train 114, loss: 1.433229, train acc: 0.958130, train avg acc: 0.936956
Test 114, loss: 1.491064, test acc: 0.906807, test avg acc: 0.870750
Train 115, loss: 1.432543, train acc: 0.957215, train avg acc: 0.935777
Test 115, loss: 1.453925, test acc: 0.923420, test avg acc: 0.885831
Train 116, loss: 1.434212, train acc: 0.956504, train avg acc: 0.936963
Test 116, loss: 1.495210, test acc: 0.904781, test avg acc: 0.877762
Train 117, loss: 1.430569, train acc: 0.959350, train avg acc: 0.937193
Test 117, loss: 1.472565, test acc: 0.914100, test avg acc: 0.876715
Train 118, loss: 1.432282, train acc: 0.958537, train avg acc: 0.935690
Test 118, loss: 1.471574, test acc: 0.913290, test avg acc: 0.880779
Train 119, loss: 1.421730, train acc: 0.962907, train avg acc: 0.942766
Test 119, loss: 1.497338, test acc: 0.904376, test avg acc: 0.871134
Train 120, loss: 1.426516, train acc: 0.960163, train avg acc: 0.939574
Test 120, loss: 1.456962, test acc: 0.927877, test avg acc: 0.894407
